
0.402	-0.188608	0.00299377	-9.72797

0.407	-0.21136	0.0143701	-9.78605

0.416	-0.202379	0.0263452	-9.78306

0.427	-0.178429	0.0167651	-9.79503

0.437	-0.189207	0.0251477	-9.77467

0.446	-0.191602	0.026944	-9.75252

0.457	-0.209564	0.0191602	-9.75491

0.467	-0.177231	0.0455054	-9.74234

0.477	-0.194595	0.0401166	-9.76988

0.486	-0.193398	0.026944	-9.7615

0.497	-0.192799	0.031734	-9.75671

0.507	-0.193997	0.0305365	-9.75731

0.535	-0.199385	0.0215552	-9.75072

0.54	-0.191602	0.026944	-9.76629

0.547	-0.17783	0.0185614	-9.74294

0.557	-0.182021	-0.00538879	-9.76988

0.567	-0.193398	-0.00359253	-9.78605

0.577	-0.209564	0.00598755	-9.75551

0.587	-0.198787	0.0209564	-9.77108

0.597	-0.186213	0.0233514	-9.7639

0.606	-0.193997	0.0119751	-9.77168

0.617	-0.198188	0.0197589	-9.75911

0.627	-0.186213	0.0257465	-9.74893

0.637	-0.200583	0.0257465	-9.77168

0.646	-0.198188	0.0502954	-9.75012

0.656	-0.191602	0.0101788	-9.79323

0.667	-0.170046	0.0305365	-9.77886

0.677	-0.161065	0.0161664	-9.74294

0.687	-0.185015	0.0275427	-9.75012

0.697	-0.202379	0.00898132	-9.74054

0.707	-0.188608	0.0461041	-9.75551

0.717	-0.189207	0.0275427	-9.74833

0.727	-0.183219	0.034129	-9.75671

0.737	-0.17304	0.0257465	-9.76749

0.746	-0.216151	0.0239502	-9.78126

0.756	-0.189207	0.029339	-9.76869

0.767	-0.174836	0.0389191	-9.77647

0.776	-0.191602	0.024549	-9.77946

0.787	-0.177231	0.0484991	-9.78006

0.797	-0.195793	0.0377216	-9.76449

0.806	-0.199385	0.0215552	-9.74533

0.816	-0.198787	0.00359253	-9.77048

0.827	-0.195194	0.0143701	-9.79563

0.836	-0.185015	0.0239502	-9.75671

0.847	-0.182021	0.0185614	-9.77467

0.856	-0.180824	0.0209564	-9.75132

0.867	-0.189805	0.0413141	-9.74773

0.877	-0.18741	0.0311353	-9.76689

0.887	-0.197589	0.0233514	-9.74414

0.897	-0.195194	0.0520917	-9.74893

0.907	-0.202978	0.0347278	-9.75911

0.916	-0.202978	0.0299377	-9.75252

0.927	-0.199984	0.0227527	-9.78904

0.936	-0.186213	0.0347278	-9.75551

0.947	-0.203577	0.0323328	-9.75671

0.957	-0.189207	0.0377216	-9.73037

0.966	-0.183818	0.0209564	-9.73216

0.977	-0.186812	0.034129	-9.77288

0.987	-0.185015	0.0179626	-9.77168

0.997	-0.202379	0.0191602	-9.77827

1.007	-0.188009	0.0520917	-9.73755

1.017	-0.150287	0.0532892	-9.75072

1.027	-0.190404	0.0185614	-9.7603

1.037	-0.189805	0.0227527	-9.74474

1.047	-0.198188	0.00958008	-9.75671

1.057	-0.185015	0.0311353	-9.74953

1.067	-0.190404	0.0550854	-9.77587

1.077	-0.202379	0.0149689	-9.79204

1.091	-0.177231	0.0281415	-9.75731

1.103	-0.183818	0.0425116	-9.77048

1.107	-0.16825	0.0437091	-9.78126

1.118	-0.176633	0.0556842	-9.79323

1.127	-0.199385	0.0401166	-9.77288

1.137	-0.201182	0.0125739	-9.76569

1.146	-0.185614	0.0233514	-9.78126

1.157	-0.171244	0.0137714	-9.76569

1.167	-0.167053	0.029339	-9.7621

1.176	-0.174238	0.0203577	-9.79563

1.186	-0.183219	0.0167651	-9.77767

1.196	-0.194595	0.00119751	-9.76809

1.207	-0.203577	0.0580792	-9.79743

1.217	-0.198188	0.0431104	-9.75132

1.227	-0.191003	0.0263452	-9.74713

1.237	-0.201182	0.00838257	-9.75911

1.246	-0.192799	0.0287402	-9.74474

1.257	-0.180824	0.034129	-9.7633

1.267	-0.184417	0.00778381	-9.75551

1.276	-0.191003	0.00359253	-9.76509

1.286	-0.195793	0.0395178	-9.77108

1.297	-0.205373	0.00419128	-9.7603

1.307	-0.198188	0.0484991	-9.76509

1.317	-0.183818	0.0425116	-9.77886

1.327	-0.191602	0.0335303	-9.7627

1.337	-0.193997	0.0682581	-9.75372

1.346	-0.193997	0.0389191	-9.77168

1.357	-0.17783	0.0520917	-9.73516

1.367	-0.195194	0.036524	-9.76928

1.376	-0.21136	0.0263452	-9.76988

1.387	-0.175435	0.0257465	-9.75491

1.397	-0.179028	0.0125739	-9.76449
